time,mRNA
0.000, 0
0.005, 0
0.010, 0
0.015, 0
0.020, 0
0.025, 1
0.030, 2
0.035, 2
0.040, 2
0.045, 2
0.050, 2
0.055, 4
0.060, 4
0.065, 4
0.070, 5
0.075, 5
0.080, 5
0.085, 5
0.090, 5
0.095, 5
0.100, 5
0.105, 7
0.110, 7
0.115, 9
0.120, 9
0.125, 10
0.130, 11
0.135, 13
0.140, 15
0.145, 15
0.150, 15
0.155, 15
0.160, 18
0.165, 19
0.170, 19
0.175, 20
0.180, 22
0.185, 22
0.190, 22
0.195, 22
0.200, 22
0.205, 22
0.210, 23
0.215, 23
0.220, 24
0.225, 26
0.230, 24
0.235, 24
0.240, 24
0.245, 24
0.250, 24
0.255, 23
0.260, 23
0.265, 25
0.270, 25
0.275, 25
0.280, 26
0.285, 26
0.290, 29
0.295, 29
0.300, 29
0.305, 31
0.310, 31
0.315, 32
0.320, 32
0.325, 32
0.330, 33
0.335, 34
0.340, 34
0.345, 35
0.350, 38
0.355, 38
0.360, 37
0.365, 36
0.370, 36
0.375, 37
0.380, 38
0.385, 38
0.390, 36
0.395, 37
